Methods,,Subjects,Tract,Distance
Proposed,0,0,AF,5.083084135467304
Proposed,1,0,ATR,3.5227245962992173
Proposed,2,0,CA,6.122651989141932
Proposed,3,0,CC,5.053882034358595
Proposed,4,0,CG,4.3386543855015525
Proposed,5,0,CST,3.513255331561623
Proposed,6,1,AF,5.886738910970467
Proposed,7,1,ATR,3.142170811132694
Proposed,8,1,CA,10.532088769212818
Proposed,9,1,CC,5.588651110185781
Proposed,10,1,CG,4.115596117871848
Proposed,11,1,CST,3.8189389643133773
Proposed,12,2,AF,5.727514187775836
Proposed,13,2,ATR,3.1284320650752973
Proposed,14,2,CA,3.362449493489879
Proposed,15,2,CC,5.453741845658277
Proposed,16,2,CG,4.14392399197596
Proposed,17,2,CST,3.06102419018416
Proposed,18,3,AF,5.439573586648062
Proposed,19,3,ATR,3.538185601064818
Proposed,20,3,CA,6.203306000646836
Proposed,21,3,CC,5.383158449772778
Proposed,22,3,CG,4.421694638698131
Proposed,23,3,CST,3.4233348678037046
Proposed,24,4,AF,6.829245784146193
Proposed,25,4,ATR,4.187681336722216
Proposed,26,4,CA,5.778126462961187
Proposed,27,4,CC,6.029033004298269
Proposed,28,4,CG,5.4993551061254875
Proposed,29,4,CST,4.131821570675878
Proposed,30,5,AF,5.101828135021819
Proposed,31,5,ATR,3.2794076517182584
Proposed,32,5,CA,2.6902559912731165
Proposed,33,5,CC,4.910421454071982
Proposed,34,5,CG,3.8451583494479173
Proposed,35,5,CST,2.7263590572098537
Proposed,36,6,AF,5.311331868095298
Proposed,37,6,ATR,3.3147096937377953
Proposed,38,6,CA,3.2772592412670964
Proposed,39,6,CC,5.31865150300845
Proposed,40,6,CG,4.0635944483502735
Proposed,41,6,CST,3.802919730744265
Proposed,42,7,AF,7.720243924888941
Proposed,43,7,ATR,3.526798162887364
Proposed,44,7,CA,3.7014760595101506
Proposed,45,7,CC,5.399434118250492
Proposed,46,7,CG,4.030728257193503
Proposed,47,7,CST,4.281646123545772
Proposed,48,8,AF,6.275420537128839
Proposed,49,8,ATR,5.9089670921693855
Proposed,50,8,CA,2.8403918874773626
Proposed,51,8,CC,7.197751993710895
Proposed,52,8,CG,5.333702065588323
Proposed,53,8,CST,3.8778127005734886
Proposed,54,9,AF,5.680337024806111
Proposed,55,9,ATR,3.3336069946596765
Proposed,56,9,CA,3.4419738828831004
Proposed,57,9,CC,5.21549599510252
Proposed,58,9,CG,4.004532452931818
Proposed,59,9,CST,3.489586626283218
Proposed,60,10,AF,6.201895420427523
Proposed,61,10,ATR,3.8312035821670225
Proposed,62,10,CA,7.210767582908928
Proposed,63,10,CC,5.517316747633191
Proposed,64,10,CG,5.264774883246234
Proposed,65,10,CST,3.265547405490069
Proposed,66,11,AF,5.534295417564613
Proposed,67,11,ATR,2.795571356604323
Proposed,68,11,CA,3.885280166918895
Proposed,69,11,CC,4.574131566741953
Proposed,70,11,CG,4.937610198269426
Proposed,71,11,CST,2.745385593915143
Proposed,72,12,AF,5.901342735111786
Proposed,73,12,ATR,4.968087834732456
Proposed,74,12,CA,
Proposed,75,12,CC,5.522962102022224
Proposed,76,12,CG,4.466567342744285
Proposed,77,12,CST,3.67539445743136
Proposed,78,13,AF,8.255190957220353
Proposed,79,13,ATR,3.623046735097233
Proposed,80,13,CA,2.3923401816655296
Proposed,81,13,CC,5.136968684662214
Proposed,82,13,CG,4.6118852966260055
Proposed,83,13,CST,4.735416788756354
Proposed,84,14,AF,5.822927022666526
Proposed,85,14,ATR,3.476077947264765
Proposed,86,14,CA,5.4194145534340015
Proposed,87,14,CC,4.798112466325192
Proposed,88,14,CG,3.5923317298307857
Proposed,89,14,CST,2.6568388107404606
Proposed,90,15,AF,6.999160509563739
Proposed,91,15,ATR,4.242329230608533
Proposed,92,15,CA,2.9986253454460647
Proposed,93,15,CC,6.079411522819277
Proposed,94,15,CG,5.437386045579997
Proposed,95,15,CST,4.390661592092973
Proposed,96,16,AF,5.826406513056661
Proposed,97,16,ATR,4.025436578726778
Proposed,98,16,CA,10.281555522891605
Proposed,99,16,CC,4.874500178522713
Proposed,100,16,CG,5.462324144442057
Proposed,101,16,CST,3.196407534907057
Proposed,102,17,AF,5.381852863565868
Proposed,103,17,ATR,2.7716690817208565
Proposed,104,17,CA,3.70005291517281
Proposed,105,17,CC,5.236989181534687
Proposed,106,17,CG,3.634055756503606
Proposed,107,17,CST,2.6055763203563194
Proposed,108,18,AF,5.595891048133415
Proposed,109,18,ATR,3.6568652416996446
Proposed,110,18,CA,4.587257068565275
Proposed,111,18,CC,5.285784480192994
Proposed,112,18,CG,4.155977352492695
Proposed,113,18,CST,3.6442482637259235
Proposed,114,19,AF,5.316077103178185
Proposed,115,19,ATR,3.0567195941882983
Proposed,116,19,CA,3.0357483912387777
Proposed,117,19,CC,5.136461597050051
Proposed,118,19,CG,4.3081007702847876
Proposed,119,19,CST,2.8398131426208266
Proposed,120,20,AF,6.047381468482452
Proposed,121,20,ATR,3.131465224996304
Proposed,122,20,CA,2.4131211717996286
Proposed,123,20,CC,5.308080302391891
Proposed,124,20,CG,4.298364273751858
Proposed,125,20,CST,3.9654325034499918
Proposed,126,21,AF,5.768227842065188
Proposed,127,21,ATR,3.5362371554427017
Proposed,128,21,CA,8.065967173493235
Proposed,129,21,CC,5.459714968140748
Proposed,130,21,CG,4.650854094960944
Proposed,131,21,CST,3.3057596767133384
Proposed,132,22,AF,4.9084099579027125
Proposed,133,22,ATR,3.6564013110977056
Proposed,134,22,CA,4.251574860864909
Proposed,135,22,CC,5.60791535985734
Proposed,136,22,CG,4.07559369259236
Proposed,137,22,CST,2.8956520028462402
Proposed,138,23,AF,6.260339227610861
Proposed,139,23,ATR,3.5866672488267763
Proposed,140,23,CA,1.75347126666469
Proposed,141,23,CC,5.111039148039702
Proposed,142,23,CG,4.0524535545725024
Proposed,143,23,CST,3.19564548177342
Proposed,144,24,AF,5.4354349430297795
Proposed,145,24,ATR,3.613823396531854
Proposed,146,24,CA,5.90884315651728
Proposed,147,24,CC,5.041006970734841
Proposed,148,24,CG,4.132328386917037
Proposed,149,24,CST,3.6013707539142477
Proposed,150,25,AF,5.530817903071304
Proposed,151,25,ATR,4.063271789247402
Proposed,152,25,CA,3.3867981381432997
Proposed,153,25,CC,5.4548785285056205
Proposed,154,25,CG,3.8524154264611887
Proposed,155,25,CST,4.800192056326312
Proposed,156,26,AF,4.869615092393053
Proposed,157,26,ATR,3.870741142705254
Proposed,158,26,CA,
Proposed,159,26,CC,5.51307139338165
Proposed,160,26,CG,4.724584822693704
Proposed,161,26,CST,3.558334187008203
Proposed,162,27,AF,7.5168313057166545
Proposed,163,27,ATR,4.534355432938001
Proposed,164,27,CA,3.7334092623902695
Proposed,165,27,CC,5.567187931737715
Proposed,166,27,CG,3.697184756042402
Proposed,167,27,CST,3.8009294863638234
Proposed,168,28,AF,6.264616414112441
Proposed,169,28,ATR,4.522343277458323
Proposed,170,28,CA,3.8670459622244167
Proposed,171,28,CC,6.038268561003505
Proposed,172,28,CG,4.432973138906541
Proposed,173,28,CST,4.387905529569258
Proposed,174,29,AF,5.389733616606892
Proposed,175,29,ATR,3.357951871190699
Proposed,176,29,CA,2.4662167569786018
Proposed,177,29,CC,5.114271485448852
Proposed,178,29,CG,4.0667416934309175
Proposed,179,29,CST,3.4919925799648586
Proposed,180,30,AF,6.150661982668635
Proposed,181,30,ATR,3.6638402223223414
Proposed,182,30,CA,3.808107203041318
Proposed,183,30,CC,5.1299010005233905
Proposed,184,30,CG,5.64350608325147
Proposed,185,30,CST,3.505116727572988
Proposed,186,31,AF,4.741656323200858
Proposed,187,31,ATR,2.7794416882441526
Proposed,188,31,CA,2.9424364350861962
Proposed,189,31,CC,5.056148315441797
Proposed,190,31,CG,3.7674571017182954
Proposed,191,31,CST,3.463017068841935
Proposed,192,32,AF,6.245546719040535
Proposed,193,32,ATR,3.3620441565041164
Proposed,194,32,CA,2.6959708231616086
Proposed,195,32,CC,5.451691794134085
Proposed,196,32,CG,4.196750341372191
Proposed,197,32,CST,3.5098758082884145
Proposed,198,33,AF,5.957960397539812
Proposed,199,33,ATR,3.4210426807598573
Proposed,200,33,CA,5.583076598709305
Proposed,201,33,CC,5.569499248160029
Proposed,202,33,CG,4.495812396712496
Proposed,203,33,CST,4.003330461350871
Proposed,204,34,AF,5.892688497019477
Proposed,205,34,ATR,4.47413475552324
Proposed,206,34,CA,2.8595892648969796
Proposed,207,34,CC,5.573295969717621
Proposed,208,34,CG,6.807749413584273
Proposed,209,34,CST,3.712556370207552
Proposed,210,35,AF,4.825779262447948
Proposed,211,35,ATR,3.175367263381342
Proposed,212,35,CA,5.776913038094545
Proposed,213,35,CC,5.626735706970525
Proposed,214,35,CG,4.083448202372732
Proposed,215,35,CST,4.2847210588324725
Proposed,216,36,AF,6.101714828538262
Proposed,217,36,ATR,4.2987973939593
Proposed,218,36,CA,4.807713835813238
Proposed,219,36,CC,4.597772469922662
Proposed,220,36,CG,4.270467863555426
Proposed,221,36,CST,3.355183016134957
Proposed,222,37,AF,5.784873281169287
Proposed,223,37,ATR,3.1978156949733085
Proposed,224,37,CA,3.534850375703312
Proposed,225,37,CC,5.406056437901465
Proposed,226,37,CG,4.8504046196115835
Proposed,227,37,CST,2.9407742905258116
Proposed,228,38,AF,5.2602290391033435
Proposed,229,38,ATR,3.313697926388116
Proposed,230,38,CA,8.47466920698027
Proposed,231,38,CC,6.363837076659996
Proposed,232,38,CG,4.95373727241525
Proposed,233,38,CST,3.823193549278981
Proposed,234,39,AF,5.938038577822956
Proposed,235,39,ATR,3.4047662822753293
Proposed,236,39,CA,5.339480021949149
Proposed,237,39,CC,5.4198521287240045
Proposed,238,39,CG,4.77198788612067
Proposed,239,39,CST,3.773145018594967
Proposed,240,40,AF,6.352982987638022
Proposed,241,40,ATR,3.317890392183461
Proposed,242,40,CA,2.4550389926173066
Proposed,243,40,CC,4.713686527425533
Proposed,244,40,CG,3.6669133229390374
Proposed,245,40,CST,3.281583840504276
Proposed,246,41,AF,5.565659415301143
Proposed,247,41,ATR,3.5340482801164734
Proposed,248,41,CA,2.503341694066762
Proposed,249,41,CC,5.477833003065498
Proposed,250,41,CG,4.914719805966997
Proposed,251,41,CST,4.495842388742538
Proposed,252,42,AF,5.220425115108621
Proposed,253,42,ATR,3.393681226010714
Proposed,254,42,CA,3.3197322384271932
Proposed,255,42,CC,5.081370224154954
Proposed,256,42,CG,4.072810097309833
Proposed,257,42,CST,4.057280090328023
Proposed,258,43,AF,6.542577645021267
Proposed,259,43,ATR,3.256724595847424
Proposed,260,43,CA,5.800918257771679
Proposed,261,43,CC,5.08122635632266
Proposed,262,43,CG,4.165566845557185
Proposed,263,43,CST,4.196760613767515
Proposed,264,44,AF,4.628643746296377
Proposed,265,44,ATR,2.740618978783213
Proposed,266,44,CA,4.042519747130527
Proposed,267,44,CC,5.398125273077212
Proposed,268,44,CG,3.969268736330152
Proposed,269,44,CST,2.869935274415809
Proposed,270,45,AF,5.916976772891027
Proposed,271,45,ATR,3.415014459337526
Proposed,272,45,CA,2.969037951776491
Proposed,273,45,CC,5.200754983074141
Proposed,274,45,CG,4.80137362274169
Proposed,275,45,CST,4.316710565370021
Proposed,276,46,AF,5.7066283808641405
Proposed,277,46,ATR,3.132140292135782
Proposed,278,46,CA,3.2481839787069764
Proposed,279,46,CC,5.298082250786527
Proposed,280,46,CG,4.431037632643779
Proposed,281,46,CST,3.4593809719464788
Proposed,282,47,AF,6.615293989607813
Proposed,283,47,ATR,3.8044546180670187
Proposed,284,47,CA,2.5321339260974485
Proposed,285,47,CC,5.342734144376163
Proposed,286,47,CG,4.118378985216055
